"seqnames","qry_id","ref_id","qry_gene_id","ref_gene_id","gene_name","class_code","strand","start","end","len","num_exons","prediction","rnamining_score","exon","classification"
"X","BambuTx1270","-","BambuGene21708","-",NA,"u","-",46330108,46333555,535,2,"non-coding",0.9999925,"multi-exonic","intergenic"
"X","BambuTx1271","ENST00000847302","ENSG00000310118","ENSG00000310118","ENSG00000310118","j","+",107935774,107960576,1678,4,"non-coding",0.99994475,"multi-exonic","multiexon SJ match"
"X","BambuTx1272","-","BambuGene21922","-",NA,"u","-",123817534,123830334,480,2,"non-coding",0.99996716,"multi-exonic","intergenic"
"X","BambuTx1273","ENST00000830747","ENSG00000134594","ENSG00000286650","ENSG00000286650","j","+",130110623,130184870,807,3,"non-coding",0.9999912,"multi-exonic","multiexon SJ match"
"X","BambuTx1274","-","BambuGene21934","-",NA,"u","-",130566497,130573701,396,2,"non-coding",0.9997532,"multi-exonic","intergenic"
"X","BambuTx1275","-","BambuGene21517","-",NA,"u","+",130573249,130602482,1524,2,"non-coding",0.9999993,"multi-exonic","intergenic"
"KI270442.1","BambuTx1276","-","BambuGene22045","-",NA,"u","-",381772,384824,2533,2,"non-coding",0.99997765,"multi-exonic","intergenic"
"KI270719.1","BambuTx1277","-","BambuGene22149","-",NA,"u","+",93108,106179,940,2,"non-coding",0.9998968,"multi-exonic","intergenic"
"KI270748.1","BambuTx1278","-","BambuGene22285","-",NA,"u","-",85385,92075,465,2,"non-coding",0.9999506,"multi-exonic","intergenic"
"1","BambuTx1279","ENST00000777659","BambuGene1057","ENSG00000238290",NA,"i","-",8132575,8138058,574,2,"non-coding",0.99998677,"multi-exonic","intronic"
"1","BambuTx1281","ENST00000441272","ENSG00000237588","ENSG00000237588","ENSG00000237588","j","-",156690643,156694240,485,2,"non-coding",0.9948393,"multi-exonic","multiexon SJ match"
"1","BambuTx1282","ENST00000824723","ENSG00000307248","ENSG00000307248","ENSG00000307248","j","+",218593955,218669814,878,2,"non-coding",0.9999928,"multi-exonic","multiexon SJ match"
"1","BambuTx1283","ENST00000824723","ENSG00000307248","ENSG00000307248","ENSG00000307248","j","+",218593956,218669446,578,3,"non-coding",0.99994016,"multi-exonic","multiexon SJ match"
"1","BambuTx1284","-","BambuGene1966","-",NA,"u","-",221413753,221440804,483,3,"non-coding",0.9999954,"multi-exonic","intergenic"
"1","BambuTx1285","ENST00000690539","ENSG00000182901","ENSG00000182901","RGS7","j","-",240767633,240801661,853,2,"non-coding",0.9999996,"multi-exonic","multiexon SJ match"
"11","BambuTx1286","ENST00000524717","ENSG00000184384","ENSG00000184384","MAML2","j","-",96073954,96093512,2334,2,"non-coding",0.99999124,"multi-exonic","multiexon SJ match"
"12","BambuTx1287","ENST00000550389","BambuGene4792","ENSG00000166225",NA,"i","-",69538876,69540346,663,2,"non-coding",0.9999235,"multi-exonic","intronic"
"14","BambuTx1288","ENST00000829877","BambuGene5441","ENSG00000307927",NA,"i","+",55084251,55086889,2256,2,"non-coding",0.9999991,"multi-exonic","intronic"
"16","BambuTx1289","ENST00000571133","BambuGene6665","ENSG00000171490",NA,"i","+",11843098,11843895,511,2,"non-coding",0.9996864,"multi-exonic","intronic"
"16","BambuTx1290","ENST00000674995","BambuGene7223","ENSG00000072864",NA,"i","-",15700441,15701914,1051,2,"non-coding",0.9999981,"multi-exonic","intronic"
"16","BambuTx1291","ENST00000360461","BambuGene7478","ENSG00000196155",NA,"x","-",67264191,67279362,2323,3,"non-coding",0.9999834,"multi-exonic","antisense"
"2","BambuTx1292","-","BambuGene11825","-",NA,"u","+",82790616,82792870,268,2,"non-coding",0.99964285,"multi-exonic","intergenic"
"20","BambuTx1293","ENST00000830986","BambuGene13043","ENSG00000230725",NA,"i","+",25180088,25188189,2288,2,"non-coding",0.9999973,"multi-exonic","intronic"
"20","BambuTx1294","ENST00000468375","ENSG00000124251","ENSG00000124251","TP53TG5","j","-",45404122,45406559,736,3,"non-coding",0.99960643,"multi-exonic","multiexon SJ match"
"22","BambuTx1297","ENST00000355630","ENSG00000230071","ENSG00000196588","MRTFA","j","-",40586324,40636724,1564,3,"non-coding",0.9999981,"multi-exonic","multiexon SJ match"
"6","BambuTx1298","ENST00000819786","ENSG00000229862","ENSG00000229862","EEF1A1-AS1","j","+",73523583,73576489,1256,3,"non-coding",0.9999986,"multi-exonic","multiexon SJ match"
"7","BambuTx1299","-","BambuGene18228","-",NA,"u","+",6493880,6496337,1256,2,"non-coding",0.99998236,"multi-exonic","intergenic"
"8","BambuTx1300","ENST00000328195","ENSG00000304882","ENSG00000147471",NA,"x","-",37779519,37781592,1610,2,"non-coding",0.99999744,"multi-exonic","antisense"
"8","BambuTx1301","ENST00000734570","ENSG00000246145","ENSG00000246145","RRS1-DT","j","-",66395632,66430192,2057,2,"non-coding",0.9999819,"multi-exonic","multiexon SJ match"
"8","BambuTx1302","ENST00000517834","BambuGene19736","ENSG00000178125",NA,"i","+",67044591,67046056,933,2,"non-coding",0.9999959,"multi-exonic","intronic"
"9","BambuTx1305","ENST00000396613","ENSG00000122694","ENSG00000122694","GLIPR2","j","+",36136725,36162590,296,2,"non-coding",0.9784569,"multi-exonic","multiexon SJ match"
"X","BambuTx1306","ENST00000622259","ENSG00000227536","ENSG00000147164","SNX12","j","-",71043441,71068353,2241,5,"non-coding",0.999999,"multi-exonic","multiexon SJ match"
"1","BambuTx1307","ENST00000368061","BambuGene1775","ENSG00000162738",NA,"i","-",160403137,160408228,1636,3,"non-coding",0.99999774,"multi-exonic","intronic"
"1","BambuTx1308","ENST00000287713","BambuGene791","ENSG00000157064",NA,"x","+",183417987,183420600,546,2,"non-coding",0.99996585,"multi-exonic","antisense"
"10","BambuTx1309","ENST00000824716","ENSG00000307244","ENSG00000307244","ENSG00000307244","j","-",119459531,119461535,626,2,"non-coding",0.9999802,"multi-exonic","multiexon SJ match"
"10","BambuTx131","ENST00000368989","BambuGene2796","ENSG00000107679",NA,"x","-",122371056,122375257,388,2,"non-coding",0.99899656,"multi-exonic","antisense"
"10","BambuTx1310","-","BambuGene2415","-",NA,"u","+",124428658,124435587,481,3,"non-coding",0.99996084,"multi-exonic","intergenic"
"14","BambuTx1312","ENST00000424969","ENSG00000224650","ENSG00000224650","IGHV3-74","j","-",106809030,106845883,1798,2,"non-coding",0.9999966,"multi-exonic","multiexon SJ match"
"15","BambuTx1313","ENST00000558605","BambuGene6447","ENSG00000166411",NA,"x","-",78146299,78149175,1502,2,"non-coding",0.9999853,"multi-exonic","antisense"
"19","BambuTx1314","ENST00000359692","BambuGene10839","ENSG00000079805",NA,"i","-",10807540,10809392,1599,2,"non-coding",0.99998814,"multi-exonic","intronic"
"2","BambuTx1315","ENST00000448117","ENSG00000236651","ENSG00000236651","DLX2-DT","j","+",172103024,172110585,1217,4,"non-coding",0.99995303,"multi-exonic","multiexon SJ match"
"20","BambuTx1316","ENST00000848879","ENSG00000310298","ENSG00000310298","ENSG00000310298","j","-",54206835,54208330,596,2,"non-coding",0.9990278,"multi-exonic","multiexon SJ match"
"21","BambuTx1317","ENST00000339818","ENSG00000232969","ENSG00000160226",NA,"x","+",44339138,44341357,615,2,"non-coding",0.99999195,"multi-exonic","antisense"
"22","BambuTx1318","-","BambuGene14498","-",NA,"u","-",36052322,36053474,546,2,"non-coding",0.99995774,"multi-exonic","intergenic"
"10","BambuTx132","ENST00000392799","ENSG00000107679","ENSG00000107679","PLEKHA1","j","+",122374708,122430152,1618,13,"non-coding",0.9678478,"multi-exonic","multiexon SJ match"
"5","BambuTx1320","-","BambuGene16561","-",NA,"u","+",60844428,60851730,679,2,"non-coding",0.999976,"multi-exonic","intergenic"
"6","BambuTx1321","ENST00000370657","ENSG00000146166","ENSG00000146166","LGSN","j","-",63279642,63442349,3059,8,"non-coding",0.9999999,"multi-exonic","multiexon SJ match"
"6","BambuTx1322","ENST00000832409","ENSG00000227598","ENSG00000227598","ENSG00000227598","j","-",166994465,166999030,782,2,"non-coding",0.9999817,"multi-exonic","multiexon SJ match"
"7","BambuTx1323","ENST00000353442","BambuGene18799","ENSG00000105983",NA,"x","+",156892782,156922025,789,2,"non-coding",0.99992335,"multi-exonic","antisense"
"8","BambuTx1324","ENST00000533965","ENSG00000197363","ENSG00000197363","ZNF517","j","+",144798893,144806942,1500,5,"non-coding",0.99996847,"multi-exonic","multiexon SJ match"
"KI270733.1","BambuTx1325","-","BambuGene22126","-",NA,"u","-",118938,120511,1431,2,"non-coding",0.8448338,"multi-exonic","intergenic"
"1","BambuTx1326","ENST00000375743","BambuGene102","ENSG00000116809",NA,"i","+",15950148,15955603,3549,2,"non-coding",0.9999989,"multi-exonic","intronic"
"1","BambuTx1327","ENST00000370548","ENSG00000267561","ENSG00000267561","ENSG00000267561","j","+",86914680,87169204,2375,8,"non-coding",0.99997264,"multi-exonic","multiexon SJ match"
"1","BambuTx1328","ENST00000834471","ENSG00000308473","ENSG00000308473","ENSG00000308473","j","-",226860070,226870542,836,4,"non-coding",0.9999854,"multi-exonic","multiexon SJ match"
"1","BambuTx1329","-","BambuGene962","-",NA,"u","+",234997585,235000932,2017,2,"non-coding",0.999998,"multi-exonic","intergenic"
"10","BambuTx133","ENST00000465232","ENSG00000179988","ENSG00000179988","PSTK","j","+",122954438,122990390,717,5,"non-coding",0.9999591,"multi-exonic","multiexon SJ match"
"1","BambuTx1330","ENST00000637660","BambuGene2066","ENSG00000186197",NA,"i","-",236464424,236466233,806,2,"non-coding",0.9999711,"multi-exonic","intronic"
"1","BambuTx1331","ENST00000366552","ENSG00000287513","ENSG00000162843","WDR64","j","+",241639830,241664247,431,3,"non-coding",0.99971926,"multi-exonic","multiexon SJ match"
"10","BambuTx1332","ENST00000780313","ENSG00000230417","ENSG00000230417","LINC00595","j","+",78424335,78525206,1152,2,"non-coding",0.99965906,"multi-exonic","multiexon SJ match"
"11","BambuTx1333","ENST00000602376","BambuGene3977","ENSG00000175773",NA,"i","-",130331380,130336853,690,2,"non-coding",0.99996316,"multi-exonic","intronic"
"11","BambuTx1334","ENST00000533812","BambuGene3306","ENSG00000254842",NA,"x","+",130847891,130863505,2507,2,"non-coding",0.9999984,"multi-exonic","antisense"
"12","BambuTx1335","ENST00000545410","ENSG00000256482","ENSG00000256482","ENSG00000256482","j","+",24821942,24839874,2757,4,"non-coding",0.9999907,"multi-exonic","multiexon SJ match"
"12","BambuTx1336","ENST00000398675","BambuGene4625","ENSG00000151233",NA,"i","-",42136941,42137478,403,2,"non-coding",0.99999535,"multi-exonic","intronic"
"12","BambuTx1337","ENST00000651657","ENSG00000249388","ENSG00000249388","FLJ12825","j","+",53994821,54119593,1186,2,"non-coding",0.99998564,"multi-exonic","multiexon SJ match"
"12","BambuTx1339","ENST00000670029","ENSG00000281333","ENSG00000281333","ENSG00000281333","j","+",88580543,88600599,654,5,"non-coding",0.9999979,"multi-exonic","multiexon SJ match"
"10","BambuTx134","ENST00000824599","ENSG00000307215","ENSG00000307215","ENSG00000307215","j","-",124083143,124093557,1246,2,"non-coding",0.99999744,"multi-exonic","multiexon SJ match"
"15","BambuTx1340","-","BambuGene6392","-",NA,"u","-",60294173,60297262,671,3,"non-coding",0.9999871,"multi-exonic","intergenic"
"15","BambuTx1341","ENST00000720754","BambuGene6244","ENSG00000294066",NA,"x","+",83379788,83384979,1735,2,"non-coding",0.99999964,"multi-exonic","antisense"
"15","BambuTx1342","ENST00000558723","BambuGene6489","ENSG00000188095",NA,"i","-",89762746,89776604,745,3,"non-coding",0.90613055,"multi-exonic","intronic"
"15","BambuTx1343","ENST00000555971","ENSG00000260361","ENSG00000185442","FAM174B","j","-",92780254,92808561,2126,3,"non-coding",0.99999046,"multi-exonic","multiexon SJ match"
"16","BambuTx1344","-","BambuGene6529","-",NA,"u","+",138711,142258,286,3,"non-coding",0.99946797,"multi-exonic","intergenic"
"16","BambuTx1345","ENST00000566264","ENSG00000131634","ENSG00000131634","TMEM204","j","+",1543471,1555568,935,2,"non-coding",0.9997698,"multi-exonic","multiexon SJ match"
"16","BambuTx1346","ENST00000766536","BambuGene6987","ENSG00000261390",NA,"i","+",79658496,79661069,1349,2,"non-coding",0.99997646,"multi-exonic","intronic"
"16","BambuTx1347","-","BambuGene7651","-",NA,"u","-",86379608,86383622,313,2,"non-coding",0.9999928,"multi-exonic","intergenic"
"17","BambuTx1348","ENST00000527372","BambuGene8047","ENSG00000196535",NA,"i","+",29133699,29135490,353,2,"non-coding",0.999983,"multi-exonic","intronic"
"17","BambuTx1349","ENST00000751181","ENSG00000297816","ENSG00000297816","ENSG00000297816","j","+",33267497,33285356,1086,2,"non-coding",0.9999791,"multi-exonic","multiexon SJ match"
"10","BambuTx135","ENST00000810815","ENSG00000305416","ENSG00000305416","ENSG00000305416","j","+",126905395,126920314,649,2,"non-coding",0.99982625,"multi-exonic","multiexon SJ match"
"17","BambuTx1351","ENST00000715482","BambuGene8381","ENSG00000228639",NA,"i","+",71921937,71939696,1306,3,"non-coding",0.9999979,"multi-exonic","intronic"
"18","BambuTx1352","ENST00000400150","BambuGene9319","ENSG00000170579",NA,"i","+",3625096,3630516,364,2,"non-coding",0.99999195,"multi-exonic","intronic"
"19","BambuTx1353","ENST00000541714","BambuGene9657","ENSG00000105289",NA,"i","+",3740763,3741644,373,2,"non-coding",0.9951878,"multi-exonic","intronic"
"19","BambuTx1354","ENST00000541297","BambuGene11342","ENSG00000104853",NA,"x","-",44953044,44954927,944,2,"non-coding",0.9999914,"multi-exonic","antisense"
"20","BambuTx1357","ENST00000418979","ENSG00000232528","ENSG00000232528","ENSG00000232528","j","-",1766659,1777166,2022,7,"non-coding",0.9999963,"multi-exonic","multiexon SJ match"
"20","BambuTx1358","-","BambuGene13178","-",NA,"u","+",40565558,40569342,427,2,"non-coding",0.9849176,"multi-exonic","intergenic"
"20","BambuTx1359","ENST00000716953","ENSG00000225806","ENSG00000225806","ENSG00000225806","j","-",58886846,58888820,1534,2,"non-coding",0.99999803,"multi-exonic","multiexon SJ match"
"10","BambuTx136","ENST00000368671","ENSG00000180745","ENSG00000180745","CLRN3","j","-",127877846,127906974,1147,4,"non-coding",0.9997744,"multi-exonic","multiexon SJ match"
"21","BambuTx1360","ENST00000619537","BambuGene13840","ENSG00000276076",NA,"i","-",6545232,6553948,3626,3,"non-coding",0.99998635,"multi-exonic","intronic"
"3","BambuTx1361","ENST00000787749","ENSG00000302544","ENSG00000302544","ENSG00000302544","j","+",11137138,11144903,598,2,"non-coding",0.999986,"multi-exonic","multiexon SJ match"
"3","BambuTx1362","ENST00000465482","BambuGene14951","ENSG00000239620",NA,"x","+",127286737,127288210,648,2,"non-coding",0.99999106,"multi-exonic","antisense"
"4","BambuTx1364","ENST00000264864","BambuGene16170","ENSG00000038210",NA,"i","-",25238038,25246230,1173,2,"non-coding",0.99999803,"multi-exonic","intronic"
"4","BambuTx1365","ENST00000508433","BambuGene15880","ENSG00000250815",NA,"x","+",53924106,53945116,465,3,"non-coding",0.99999756,"multi-exonic","antisense"
"4","BambuTx1366","ENST00000504452","BambuGene16273","ENSG00000152784",NA,"x","-",80198983,80202338,2807,2,"non-coding",0.9999984,"multi-exonic","antisense"
"5","BambuTx1367","ENST00000669344","ENSG00000248994","ENSG00000248994","ENSG00000248994","j","+",1919954,1934885,1313,2,"non-coding",0.9999974,"multi-exonic","multiexon SJ match"
"5","BambuTx1368","-","BambuGene16892","-",NA,"u","-",15002081,15005086,1573,3,"non-coding",0.9999989,"multi-exonic","intergenic"
"5","BambuTx1369","ENST00000724963","BambuGene17141","ENSG00000231185",NA,"i","-",142340670,142342515,398,2,"non-coding",0.9999715,"multi-exonic","intronic"
"10","BambuTx137","ENST00000812116","ENSG00000305641","ENSG00000305641","ENSG00000305641","j","+",130766163,130771142,1131,3,"non-coding",0.9999965,"multi-exonic","multiexon SJ match"
"7","BambuTx1370","ENST00000357936","ENSG00000132437","ENSG00000132437","DDC","j","-",50458436,50468153,915,4,"non-coding",0.99980897,"multi-exonic","multiexon SJ match"
"7","BambuTx1371","ENST00000405709","BambuGene18684","ENSG00000184903",NA,"i","+",111249086,111399364,1383,2,"non-coding",0.99999785,"multi-exonic","intronic"
"8","BambuTx1372","ENST00000356297","BambuGene19695","ENSG00000147485",NA,"i","+",51395220,51396801,904,2,"non-coding",0.9999866,"multi-exonic","intronic"
"8","BambuTx1373","ENST00000286614","BambuGene20175","ENSG00000156103",NA,"i","-",88228843,88240064,563,3,"non-coding",0.9999297,"multi-exonic","intronic"
"9","BambuTx1374","ENST00000402838","BambuGene20971","ENSG00000182150",NA,"i","-",95993632,96001269,1426,2,"non-coding",0.999992,"multi-exonic","intronic"
"KI270727.1","BambuTx1375","-","BambuGene22039","-",NA,"u","-",25374,52514,2168,2,"non-coding",0.999997,"multi-exonic","intergenic"
"KI270727.1","BambuTx1376","-","BambuGene22036","-",NA,"u","+",92339,97998,3736,3,"non-coding",0.9999801,"multi-exonic","intergenic"
"GL000220.1","BambuTx1377","-","BambuGene22204","-",NA,"u","-",103664,104670,555,2,"non-coding",0.99738705,"multi-exonic","intergenic"
"GL000220.1","BambuTx1378","-","BambuGene22210","-",NA,"u","-",147646,148645,552,2,"non-coding",0.9979492,"multi-exonic","intergenic"
"1","BambuTx1379","ENST00000370759","BambuGene1539","ENSG00000137960",NA,"i","-",78101004,78102240,396,2,"non-coding",0.9999662,"multi-exonic","intronic"
"10","BambuTx138","ENST00000456004","ENSG00000165752","ENSG00000165752","STK32C","j","-",132330289,132331877,593,2,"non-coding",0.98219466,"multi-exonic","multiexon SJ match"
"10","BambuTx1380","-","BambuGene2813","-",NA,"u","-",130545688,130547552,1115,2,"non-coding",0.99999815,"multi-exonic","intergenic"
"11","BambuTx1381","-","BambuGene3746","-",NA,"u","-",69047600,69048742,730,2,"non-coding",0.9999948,"multi-exonic","intergenic"
"16","BambuTx1382","ENST00000637419","BambuGene7643","ENSG00000131149",NA,"i","-",85546444,85555298,277,2,"non-coding",0.9991806,"multi-exonic","intronic"
"19","BambuTx1383","ENST00000588094","ENSG00000176222","ENSG00000176222","ZNF404","j","-",43872365,43901809,3049,7,"non-coding",0.9999182,"multi-exonic","multiexon SJ match"
"2","BambuTx1384","ENST00000317620","BambuGene12551","ENSG00000155066",NA,"x","-",95271981,95275782,341,2,"non-coding",0.993938,"multi-exonic","antisense"
"3","BambuTx1385","-","BambuGene14858","-",NA,"u","+",67090774,67178021,2175,4,"non-coding",0.9999967,"multi-exonic","intergenic"
"4","BambuTx1387","ENST00000295958","BambuGene15836","ENSG00000163683",NA,"i","+",39604136,39604975,442,2,"non-coding",0.9997984,"multi-exonic","intronic"
"5","BambuTx1388","ENST00000506621","BambuGene16589","ENSG00000254893",NA,"x","+",76170085,76174354,534,2,"non-coding",0.9999716,"multi-exonic","antisense"
"5","BambuTx1389","ENST00000513374","BambuGene17057","ENSG00000145779",NA,"i","-",119343545,119355834,3307,4,"non-coding",0.99999833,"multi-exonic","intronic"
"5","BambuTx1390","ENST00000765301","ENSG00000299638","ENSG00000299638","ENSG00000299638","j","-",159304162,159310735,1411,2,"non-coding",0.9999966,"multi-exonic","multiexon SJ match"
"6","BambuTx1391","ENST00000721686","ENSG00000281809","ENSG00000281809","LINC01394","j","-",1323475,1325677,1182,3,"non-coding",0.9999978,"multi-exonic","multiexon SJ match"
"7","BambuTx1392","ENST00000728231","BambuGene18822","ENSG00000295143",NA,"x","-",1519238,1521605,288,2,"non-coding",0.9842464,"multi-exonic","antisense"
"7","BambuTx1393","ENST00000328914","BambuGene18848","ENSG00000164916",NA,"x","-",4645243,4684073,920,3,"non-coding",0.9999747,"multi-exonic","antisense"
"7","BambuTx1394","ENST00000726374","BambuGene18787","ENSG00000289052",NA,"i","+",150877005,150881014,1830,2,"non-coding",0.9999968,"multi-exonic","intronic"
"8","BambuTx1396","ENST00000656656","ENSG00000251396","ENSG00000251396","LINC01301","j","-",60476043,60516793,1444,3,"non-coding",0.99999076,"multi-exonic","multiexon SJ match"
"9","BambuTx1397","ENST00000486641","BambuGene20851","ENSG00000164989",NA,"i","-",15998954,15999821,533,2,"non-coding",0.9999154,"multi-exonic","intronic"
"9","BambuTx1398","-","BambuGene21006","-",NA,"u","-",106862105,106863017,799,2,"non-coding",0.9999189,"multi-exonic","intergenic"
"X","BambuTx1399","ENST00000805238","BambuGene21827","ENSG00000225470",NA,"x","-",73937604,73944263,778,3,"non-coding",0.99996823,"multi-exonic","antisense"
"1","BambuTx14","ENST00000356607","ENSG00000142655","ENSG00000142655","PEX14","j","+",10474950,10520012,311,3,"non-coding",0.99929005,"multi-exonic","multiexon SJ match"
"11","BambuTx141","-","BambuGene2841","-",NA,"u","+",1706528,1716052,1338,2,"non-coding",0.99995935,"multi-exonic","intergenic"
"11","BambuTx142","ENST00000335790","ENSG00000166407","ENSG00000166407","LMO1","j","-",8224309,8234700,899,4,"non-coding",0.9993149,"multi-exonic","multiexon SJ match"
"11","BambuTx143","ENST00000636313","ENSG00000247595","ENSG00000247595","MISFA","j","+",18588781,18603883,365,3,"non-coding",0.9999095,"multi-exonic","multiexon SJ match"
"11","BambuTx144","ENST00000529086","ENSG00000307501","ENSG00000170946","DNAJC24","j","+",31369844,31393064,547,3,"non-coding",0.99814534,"multi-exonic","multiexon SJ match"
"11","BambuTx145","ENST00000532914","ENSG00000179431","ENSG00000179431","FJX1","j","+",35619337,35620870,1074,2,"non-coding",0.9998393,"multi-exonic","multiexon SJ match"
"11","BambuTx146","ENST00000528697","BambuGene2917","ENSG00000148948",NA,"i","+",41054203,41058687,862,3,"non-coding",0.9999283,"multi-exonic","intronic"
"11","BambuTx147","ENST00000652299","BambuGene2922","ENSG00000052850",NA,"i","+",44301434,44305259,809,2,"non-coding",0.9999648,"multi-exonic","intronic"
"11","BambuTx148","ENST00000652299","BambuGene2922","ENSG00000052850",NA,"x","+",44301434,44326626,1452,2,"non-coding",0.9999945,"multi-exonic","antisense"
"1","BambuTx15","ENST00000816624","BambuGene138","ENSG00000236963",NA,"i","+",20375748,20382133,1912,3,"non-coding",0.9999978,"multi-exonic","intronic"
"11","BambuTx151","ENST00000833482","ENSG00000124915","ENSG00000124915","MYRF-AS1","j","-",61750806,61756501,1202,3,"non-coding",0.9999962,"multi-exonic","multiexon SJ match"
"11","BambuTx152","ENST00000532402","BambuGene3008","ENSG00000089597",NA,"x","+",62624829,62625793,866,2,"non-coding",0.99990284,"multi-exonic","antisense"
"11","BambuTx153","ENST00000309366","BambuGene3599","ENSG00000173486",NA,"x","-",64243450,64244132,229,2,"non-coding",0.99772465,"multi-exonic","antisense"
"11","BambuTx155","ENST00000528650","ENSG00000254452","ENSG00000254452","ENSG00000254452","n","-",66268617,66277492,539,2,"non-coding",0.99999416,"multi-exonic","partial intron retention"
"11","BambuTx156","ENST00000622583","ENSG00000172613","ENSG00000172613","RAD9A","j","+",67317858,67331130,665,3,"non-coding",0.99982005,"multi-exonic","multiexon SJ match"
"11","BambuTx157","ENST00000543494","ENSG00000256514","ENSG00000256514","ENSG00000256514","j","-",67351548,67373601,919,5,"non-coding",0.99989444,"multi-exonic","multiexon SJ match"
"11","BambuTx158","ENST00000763367","ENSG00000290995","ENSG00000290995","ENSG00000290995","j","-",67845203,67848699,2921,2,"non-coding",0.9999992,"multi-exonic","multiexon SJ match"
"11","BambuTx159","-","BambuGene3715","-",NA,"u","-",67978062,67978925,760,2,"non-coding",0.9999936,"multi-exonic","intergenic"
"1","BambuTx16","ENST00000454000","ENSG00000142794","ENSG00000142794","NBPF3","j","+",21440137,21456890,2519,3,"non-coding",0.9999997,"multi-exonic","multiexon SJ match"
"11","BambuTx160","-","BambuGene3715","-",NA,"u","-",67975730,67978913,3101,2,"non-coding",0.9999989,"multi-exonic","intergenic"
"11","BambuTx161","ENST00000304363","ENSG00000110066","ENSG00000110066","KMT5B","j","-",68157093,68213644,3495,10,"non-coding",0.9999988,"multi-exonic","multiexon SJ match"
"11","BambuTx162","ENST00000533310","ENSG00000171067","ENSG00000171067","C11orf24","j","-",68261463,68271971,939,5,"non-coding",0.9999808,"multi-exonic","multiexon SJ match"
"11","BambuTx165","ENST00000531349","BambuGene3759","ENSG00000131620",NA,"x","-",70126380,70135712,1510,2,"non-coding",0.99993634,"multi-exonic","antisense"
"11","BambuTx166","ENST00000525245","ENSG00000172890","ENSG00000172890","NADSYN1","j","+",71453203,71460947,583,4,"non-coding",0.9995423,"multi-exonic","multiexon SJ match"
"11","BambuTx168","ENST00000531380","ENSG00000174804","ENSG00000174804","FZD4","j","-",86921530,86955395,1164,2,"non-coding",0.99977535,"multi-exonic","multiexon SJ match"
"11","BambuTx169","ENST00000305494","ENSG00000166575","ENSG00000166575","TMEM135","j","+",87037934,87287930,1143,7,"non-coding",0.99999964,"multi-exonic","multiexon SJ match"
"1","BambuTx17","ENST00000450454","ENSG00000204219","ENSG00000204219","TCEA3","j","-",23381364,23424767,1220,10,"non-coding",0.999956,"multi-exonic","multiexon SJ match"
"11","BambuTx170","ENST00000315765","BambuGene3851","ENSG00000181333",NA,"x","-",94066971,94129489,683,4,"non-coding",0.99951226,"multi-exonic","antisense"
"11","BambuTx171","ENST00000315765","BambuGene3851","ENSG00000181333",NA,"x","-",94066971,94129511,956,2,"non-coding",0.999892,"multi-exonic","antisense"
"11","BambuTx172","ENST00000434758","ENSG00000137691","ENSG00000137691","CFAP300","j","+",102047435,102067402,649,5,"non-coding",0.9935051,"multi-exonic","multiexon SJ match"
"11","BambuTx174","ENST00000003302","ENSG00000048028","ENSG00000048028","USP28","j","-",113797876,113875536,4537,24,"non-coding",0.9999958,"multi-exonic","multiexon SJ match"
"11","BambuTx175","ENST00000534788","ENSG00000110375","ENSG00000110375","UPK2","j","+",118924979,118958559,847,3,"non-coding",0.9999619,"multi-exonic","multiexon SJ match"
"11","BambuTx176","ENST00000529187","ENSG00000181264","ENSG00000181264","TLCD5","j","+",120325293,120330640,583,4,"non-coding",0.99996984,"multi-exonic","multiexon SJ match"
"11","BambuTx177","ENST00000635736","BambuGene3938","ENSG00000023171",NA,"i","-",123450223,123454353,268,2,"non-coding",0.99987406,"multi-exonic","intronic"
"11","BambuTx178","ENST00000844371","ENSG00000255045","ENSG00000255045","ENSG00000255045","j","-",124744600,124746718,518,4,"non-coding",0.9999818,"multi-exonic","multiexon SJ match"
"11","BambuTx179","ENST00000308074","ENSG00000134955","ENSG00000134955","SLC37A2","j","+",125083325,125089236,1789,10,"non-coding",0.99993265,"multi-exonic","multiexon SJ match"
"1","BambuTx18","ENST00000827319","ENSG00000235052","ENSG00000235052","ENSG00000235052","j","-",23549141,23554932,1011,4,"non-coding",0.9999768,"multi-exonic","multiexon SJ match"
"11","BambuTx181","ENST00000751925","ENSG00000297941","ENSG00000297941","ENSG00000297941","j","-",125840494,125887511,581,3,"non-coding",0.9999638,"multi-exonic","multiexon SJ match"
"11","BambuTx182","ENST00000425380","ENSG00000198331","ENSG00000198331","HYLS1","j","+",125887681,125900646,1388,2,"non-coding",0.9999874,"multi-exonic","multiexon SJ match"
"11","BambuTx183","ENST00000281441","ENSG00000151715","ENSG00000151715","TMEM45B","j","+",129815848,129859250,1602,7,"non-coding",0.99999565,"multi-exonic","multiexon SJ match"
"11","BambuTx184","ENST00000788867","ENSG00000302681","ENSG00000302681","ENSG00000302681","j","+",129895670,129897738,593,2,"non-coding",0.9987034,"multi-exonic","multiexon SJ match"
"12","BambuTx185","ENST00000339235","ENSG00000171823","ENSG00000171823","FBXL14","j","-",1565993,1593824,1728,2,"non-coding",0.9997577,"multi-exonic","multiexon SJ match"
"12","BambuTx187","ENST00000396801","ENSG00000126746","ENSG00000126746","ZNF384","j","-",6666732,6689510,2741,10,"non-coding",0.9999976,"multi-exonic","multiexon SJ match"
