TXNAME	GENEID	R1_H1975.bam	R2_H1975.bam	R3_H1975.bam	R1_HCC827.bam	R2_HCC827.bam	R3_HCC827.bam
ENST00000356978	ENSG00000198668	22785	25175	24090	10155	6660	8353
ENST00000356990	ENSG00000116514	0	1	0	2	4	0
ENST00000357001	ENSG00000197273	0	0	0	3	0	2
ENST00000357002	ENSG00000213096	34	21	28	6	3	8
ENST00000357003	ENSG00000144843	2	1	3	0	0	0
ENST00000357006	ENSG00000198081	4	6	7	0	1	2
ENST00000357028	ENSG00000160563	9	6	9	20	7	23
ENST00000357037	ENSG00000177469	88	99	80	3	12	19
ENST00000357039	ENSG00000164751	226.72776	202	173.05006	43	21.17642	44.53395
ENST00000357043	ENSG00000068028	1	0	0	0	0	0
ENST00000357052	ENSG00000167578	42	50	22	90	84	97
ENST00000357065	ENSG00000169813	1153	996	894	938	363	961
ENST00000357066	ENSG00000172081	67	94	70	18	11	15
ENST00000357067	ENSG00000129187	374	409	302	1.00371	4.70475	216
ENST00000357068	ENSG00000100033	0	0	0	1	0	1
ENST00000357071	ENSG00000117298	0.18707	0	0.25452	0.08936	0.02192	0
ENST00000357085	ENSG00000112343	49	36	45	13	10	20
ENST00000357103	ENSG00000006831	28	40	13	24	16	23
ENST00000357118	ENSG00000118257	0	0	0	0	1	0
ENST00000357121	ENSG00000122126	0	4	0	0	0	2
ENST00000357122	ENSG00000008294	3	4	5	2	0	0
ENST00000357137	ENSG00000196236	40	52	44	21	10	21
ENST00000357156	ENSG00000125971	6599	5196	5239	7972	5951	6713
ENST00000357164	ENSG00000196743	137	136	129	46	22	48
ENST00000357166	ENSG00000188706	178	226	177	337	139	436
ENST00000357172	ENSG00000134255	1	2	3	3	1	1
ENST00000357175	ENSG00000157502	0	0	0	1	0	0
ENST00000357179	ENSG00000100038	18	40	24	7	3	24
ENST00000357182	ENSG00000163867	0	1	1	0	0	0
ENST00000357194	ENSG00000109332	4	5	8	0	2	1
ENST00000357197	ENSG00000119383	4	6	5	8	2	8
ENST00000357203	ENSG00000088543	1	3	0	0	0	0
ENST00000357206	ENSG00000157077	0	0	1	0	0	0
ENST00000357214	ENSG00000116560	35	45	33.5	17	11	26.5
ENST00000357219	ENSG00000172738	5.91354	0	0	3	0	0
ENST00000357227	ENSG00000102225	119	141	84	85	64	109
ENST00000357234	ENSG00000128604	15	25	14	7	4	18
ENST00000357235	ENSG00000197622	510.19276	611.95002	527.35385	204.10286	0	258.12781
ENST00000357244	ENSG00000056586	3	2	1	1	0	1
ENST00000357246	ENSG00000197769	14	14	15	38	7	31
ENST00000357254	ENSG00000167377	0	0	0	1	2	0
ENST00000357258	ENSG00000181722	0	1	0	0	0	0
ENST00000357260	ENSG00000197852	2	4	3	2	4	1
ENST00000357266	ENSG00000096060	32	24	25	6	4	18
ENST00000357275	ENSG00000244274	5	4	5	42	8	29
ENST00000357276	ENSG00000138375	16	15	16	23	3	16
ENST00000357296	ENSG00000148832	1	0	0	0	0	0
ENST00000357308	ENSG00000198380	8	8	2	0	1	0
ENST00000357311	ENSG00000135250	1.92472	5.98438	2.99128	0.99704	0	1
ENST00000357321	ENSG00000166321	28	26	26	0	2	5
ENST00000357324	ENSG00000105726	1	2	0	1	0	0
ENST00000357325	ENSG00000143321	71.5	107.5	58.5	45.5	48.5	66
ENST00000357328	ENSG00000198105	0	1	1	2	0	0
ENST00000357332	ENSG00000198356	2926.47024	3160.89706	2912.3364	1803.69503	1288	2198.34685
ENST00000357338	ENSG00000171462	1	2	0	1	0	0
ENST00000357344	ENSG00000170379	0	0	0.5	0	0	0
ENST00000357348	ENSG00000022277	2196	2305	1956	1756	1000	1807
ENST00000357355	ENSG00000123146	44	41	37	16	10	32
ENST00000357360	ENSG00000196976	3382	3389	2959	2553	2209	2112
ENST00000357365	ENSG00000165689	0	0	0	0	0	1
ENST00000357377	ENSG00000197786	0	0	0	2	0	0
ENST00000357384	ENSG00000141425	2	4	2	2	0	1
ENST00000357385	ENSG00000141552	0	0	3	1	2	1
ENST00000357392	ENSG00000121797	10	3	4	2	0	1
ENST00000357396	ENSG00000170956	0	0	0	2	0	0
ENST00000357402	ENSG00000013364	301	318	251	168	126	272
ENST00000357419	ENSG00000106077	2	5	0	14	14.29834	31
ENST00000357422	ENSG00000183625	0	1	0	0	0	0
ENST00000357429	ENSG00000146540	0.1757	0	0.02352	0.16158	0	0.05266
ENST00000357430	ENSG00000123983	63	64	58	11	9	16
ENST00000357440	ENSG00000174669	3	15	10	61	27	84
ENST00000357443	ENSG00000155363	8.85464	12.60168	0	0	0	0
ENST00000357460	ENSG00000290292	39	82	53	51	39	73
ENST00000357461	ENSG00000198133	0	1	0	0	0	0
ENST00000357472	ENSG00000152601	1	0	0	0	0	0
ENST00000357479	ENSG00000196792	1	0	0	0	0	0
ENST00000357480	ENSG00000082641	12	32	12	9	4	7
ENST00000357481	ENSG00000100813	0	0	1	2	0	0
ENST00000357484	ENSG00000242498	143	169	128	26	41	38
ENST00000357491	ENSG00000198521	0	1	0	0	0	0
ENST00000357496	ENSG00000198218	0	3	1	1	0	0
ENST00000357500	ENSG00000167272	1287	1213	1169	1302	905	1102
ENST00000357501	ENSG00000163472	12	14	19	11	4	7
ENST00000357503	ENSG00000198113	0	1	0	0	0	0
ENST00000357512	ENSG00000146757	2	0	0	0	0	0
ENST00000357519	ENSG00000172500	1603	1501	1404	3081	2273	3438
ENST00000357540	ENSG00000155256	2	0	1	0	0	0
ENST00000357545	ENSG00000196104	5	1	2	0	0	0
ENST00000357546	ENSG00000073737	0	0	0	1	0	0
ENST00000357558	ENSG00000148337	0	0	0	0	0	2
ENST00000357559	ENSG00000114416	172	162	164	75	30	89
ENST00000357574	ENSG00000091157	0	0	0	1	0	0
ENST00000357578	ENSG00000112294	4	3	3	1	0	2
ENST00000357596	ENSG00000136147	0	0	0	1	0	0
ENST00000357604	ENSG00000151461	1	0	0	0	0	0
ENST00000357613	ENSG00000166822	59.29319	69	52.5925	33.69579	26	31.54397
ENST00000357618	ENSG00000010704	28.32894	21	16.41952	6	2	2
ENST00000357631	ENSG00000172731	4	4	2	10	3	8
ENST00000357635	ENSG00000178761	14	30	12	9	12	18
ENST00000357637	ENSG00000197563	1	0	0	0	0	0
ENST00000357639	ENSG00000154269	0	0	0	2	0	0
ENST00000357650	ENSG00000162695	4	7.47002	2	0	2	0
ENST00000357658	ENSG00000198198	0.45025	4.67047	1	2.18127	2.58609	2.89428
ENST00000357666	ENSG00000180257	5	10	3	2	0	1
ENST00000357681	ENSG00000058668	0	0	0	0	0	1
ENST00000357685	ENSG00000197580	1	0	0	0	0	0
ENST00000357692	ENSG00000198160	1	1	0	2	0	0
ENST00000357700	ENSG00000196372	42	51	57	11	8	33
ENST00000357702	ENSG00000136715	0	2	0	0	0	0
ENST00000357710	ENSG00000080815	173	147.99999	144.99999	54.30825	18	77.73375
ENST00000357714	ENSG00000117335	28	23	20	10	4	9
ENST00000357717	ENSG00000152457	0	1	0	0	0	0
ENST00000357720	ENSG00000104907	101.73474	0	95.45815	72.82374	56.85826	113.62757
ENST00000357721	ENSG00000139160	15	9	7	4	4	2
ENST00000357732	ENSG00000115310	44	41	39	6	4	13
ENST00000357742	ENSG00000140563	3	0	1	1	0	2
ENST00000357743	ENSG00000147533	0.72381	0.00001	0	0	0	0
ENST00000357749	ENSG00000188419	1	1	1	0	0	0
ENST00000357758	ENSG00000100523	1	1	0	0	0	1
ENST00000357765	ENSG00000115446	760	928	806	371	266	377
ENST00000357776	ENSG00000167131	3.36078	7.24455	8.24827	0.60028	3.77743	0.9623
ENST00000357785	ENSG00000118257	0	0	1	0	0	0
ENST00000357790	ENSG00000137818	1693	1619	1543	1108	726	777
ENST00000357802	ENSG00000291035	1	1	1	1	0	5
ENST00000357806	ENSG00000188603	0	0	3	1	0	0
ENST00000357814	ENSG00000109065	78	97	92	74	30	91
ENST00000357847	ENSG00000146416	1020	1021	939	409	183	393
ENST00000357849	ENSG00000121022	2426	2394	2260	3431	1786	3052
ENST00000357852	ENSG00000198089	4.36241	0.51008	4.31638	0	7.36004	0
ENST00000357854	ENSG00000138757	232	229	217	126	95	118
ENST00000357857	ENSG00000188603	3.59314	11.47825	8.39088	12.88407	2.1609	11
ENST00000357864	ENSG00000197343	57	64	40	10	6	7
ENST00000357865	ENSG00000117632	1	0	1	0	0	0
ENST00000357866	ENSG00000182196	22.83847	11.93504	16.91612	37.51057	17.0962	36.67094
ENST00000357877	ENSG00000135622	2	4	1	3	1	7
ENST00000357880	ENSG00000236882	0	0	0	1	0	0
ENST00000357886	ENSG00000101391	3	2	1	1	0	0
ENST00000357896	ENSG00000109083	0	3	0	0	2	1
ENST00000357901	ENSG00000197044	2	4	3	1	1	0
ENST00000357903	ENSG00000142192	253	316	213	84	35	143
ENST00000357916	ENSG00000213401	0	0	0	0	0	1
ENST00000357917	ENSG00000072422	0	1	1	0	0	0
ENST00000357943	ENSG00000105173	0	0	0	2	0	0
ENST00000357947	ENSG00000095587	1	0	0	0	0	0
ENST00000357949	ENSG00000197019	207	193	217	542	433	564
ENST00000357955	ENSG00000114738	123	160	104	210	151	276
ENST00000357971	ENSG00000119640	40	34	28	25	3	15
ENST00000357984	ENSG00000168591	17	13	15	8	4	15
ENST00000357992	ENSG00000158711	0	1	1	0	0	0
ENST00000357997	ENSG00000176915	5	7	3	2	0	1
ENST00000358005	ENSG00000128891	28	36	29	0	0	0
ENST00000358007	ENSG00000213782	607	667	526	1003	403	992
ENST00000358008	ENSG00000164022	1	4	1	3	0	1
ENST00000358011	ENSG00000116922	1	2	0	2	0	8
ENST00000358015	ENSG00000119318	442	507	390	185	49	210
ENST00000358022	ENSG00000198680	15	18	14	15	22	10
ENST00000358024	ENSG00000133069	1	0	0	0	0	0
ENST00000358028	ENSG00000001461	1	0	0	1	0	0
ENST00000358029	ENSG00000124222	3	2	1	0	1	3
ENST00000358039	ENSG00000007341	4	3	7	1	0	0
ENST00000358043	ENSG00000155463	1	0	0	1	0	0
ENST00000358053	ENSG00000130703	4	3	0	1	1	0
ENST00000358056	ENSG00000197045	16	11	19	11	8	2
ENST00000358064	ENSG00000197837	0	1	4	1	0	0
ENST00000358065	ENSG00000170364	11	13	5	3	1	2
ENST00000358067	ENSG00000181894	1.33405	1.27206	3.22339	0.63589	0	1.83317
ENST00000358075	ENSG00000102158	50.0551	113	86.07726	40.24897	37.92402	69.96943
ENST00000358094	ENSG00000102349	1	1	0	1	0	0
ENST00000358129	ENSG00000115641	0	0	0	6	5	8
ENST00000358130	ENSG00000198157	3	1	0	5	1	6
ENST00000358141	ENSG00000172731	0	2	0	2	0	0
ENST00000358147	ENSG00000196151	9	3	3	8	2	4
ENST00000358149	ENSG00000113761	19	28	11	15	13	12
ENST00000358151	ENSG00000173258	4	4	3	3	1	3
ENST00000358154	ENSG00000197006	0.00001	281.41983	196.84753	4.83447	57	104.49761
ENST00000358157	ENSG00000213694	1	0	0	0	0	0
ENST00000358170	ENSG00000117335	4	4	0	0	0	0
ENST00000358171	ENSG00000149257	1849	1773	1482	162	80	190
ENST00000358173	ENSG00000196411	1	0	3	0	0	0
ENST00000358196	ENSG00000128683	0	1	0	0	2	0
ENST00000358204	ENSG00000135269	1126	1518	1190	449	229	363
ENST00000358207	ENSG00000138375	19.99999	24.69904	12.47322	5	0.00002	12.99998
ENST00000358214	ENSG00000087470	0	0	1	0	0	1
ENST00000358215	ENSG00000144591	40	47	32	43	33	48
ENST00000358227	ENSG00000137038	2396	2125	2148	6358	3920	4758
ENST00000358230	ENSG00000155957	1178	1117	1125	1643	902	1421
ENST00000358232	ENSG00000134759	148	157	114	144	53	186
ENST00000358239	ENSG00000172531	450	530	402	267	229	310
ENST00000358278	ENSG00000140416	1513	1832	1620	569	291	516
ENST00000358290	ENSG00000198189	8	11	14	7	5	4
ENST00000358293	ENSG00000196227	3	0	0	0	0	0
ENST00000358296	ENSG00000197020	74	72	55	13	9	4
ENST00000358299	ENSG00000163596	0	3	0	1	0	0
ENST00000358303	ENSG00000091732	409	520	417	340	166	300
ENST00000358314	ENSG00000134283	122	109	123	175	124	152
ENST00000358337	ENSG00000120314	199	155	167	180	94	134
ENST00000358344	ENSG00000197451	69	92	72	32	21	54
ENST00000358355	ENSG00000136878	0	0	1	0	0	0
ENST00000358356	ENSG00000159216	0	1	1	0	0	1
ENST00000358358	ENSG00000121310	50	41	28	312	188	311
ENST00000358365	ENSG00000126858	1	2	0	0	0	1
ENST00000358367	ENSG00000143889	0	0	1	0	0	0
ENST00000358368	ENSG00000076924	10	11	11	13	7	18
ENST00000358372	ENSG00000146457	70	80	57	33	10	53
ENST00000358377	ENSG00000119599	26	48	43	28	6	24
ENST00000358387	ENSG00000113621	663	650	597	285	137	225
ENST00000358395	ENSG00000101236	126	143	117	56	29	58
ENST00000358397	ENSG00000104413	25	38	23	62	11	61
ENST00000358402	ENSG00000125952	750	667	635	358	121	256
ENST00000358406	ENSG00000197448	5465	4934	5202	4295	2462	4326
ENST00000358409	ENSG00000197905	5	4	5	7	11	10
ENST00000358432	ENSG00000142627	13	12	7	9	3	10
ENST00000358435	ENSG00000196683	37361	33993	33415	18129	14022	14796
ENST00000358441	ENSG00000114098	1	1	0	2	0	7
ENST00000358455	ENSG00000198618	4	4	10	3	4	6
ENST00000358460	ENSG00000182518	19	23	19.70787	6.15567	6.38675	8.31587
ENST00000358461	ENSG00000196526	24	38	22	16	9	18
ENST00000358465	ENSG00000197323	4	2	3	1	1	0
ENST00000358485	ENSG00000064012	12	8	9	0	0	1
ENST00000358491	ENSG00000197013	11	11	14	5	1	2
ENST00000358495	ENSG00000002016	7	7	0	9	6	6
ENST00000358510	ENSG00000119866	0	0	0	1	0	1
ENST00000358514	ENSG00000205220	612	462	500	2254	1591	2349
ENST00000358525	ENSG00000163817	0	0	0	1	0	3
ENST00000358527	ENSG00000164002	6	9	11	4	8	7
ENST00000358528	ENSG00000009307	31	20	35	35	6	28
ENST00000358531	ENSG00000213390	0	1	0	1	1	1
ENST00000358543	ENSG00000196711	0	0	0	0	0	1
ENST00000358548	ENSG00000101150	0	0	0	1	0	0
ENST00000358556	ENSG00000151617	0	0	1	0	0	0
ENST00000358572	ENSG00000198498	380	410	358	336	189	254
ENST00000358575	ENSG00000145216	8	9	13	3	4	4
ENST00000358577	ENSG00000135596	0	2	1	2	0	2
ENST00000358595	ENSG00000143437	16	24	13	6	1	11
ENST00000358597	ENSG00000149187	0	1	0	0	0	0
ENST00000358598	ENSG00000108946	35	27	29	7	2	11
ENST00000358599	ENSG00000140009	0	0	1	0	0	0
ENST00000358600	ENSG00000123146	204	187	148	81	26	100
ENST00000358604	ENSG00000136682	31	46	43	11	1	6
ENST00000358607	ENSG00000006015	0	1	0	1	2	0
ENST00000358625	ENSG00000196363	150	158	74	33	16	72
ENST00000358635	ENSG00000109381	13	10	5	3	1	4
ENST00000358637	ENSG00000148219	0	1	0	0	0	0
ENST00000358655	ENSG00000140105	193	225	210	86	27	103
ENST00000358662	ENSG00000135899	8	8	7	1	0	3
ENST00000358664	ENSG00000125952	171	196	150	131	51	105
ENST00000358666	ENSG00000198258	2288	1917	1842	899	622	790
ENST00000358675	ENSG00000154380	2.25878	2.26871	3.64784	1.02424	0	0
ENST00000358677	ENSG00000196141	1	5	2	3	0	2
ENST00000358678	ENSG00000198015	0	0	1	0	0	1
ENST00000358689	ENSG00000197217	7	9	8	2	3	6
ENST00000358694	ENSG00000198561	3	2	0	0	0	1
ENST00000358697	ENSG00000198205	2	10	9	1	2	4
ENST00000358711	ENSG00000198276	0	1	0	0	0	0
ENST00000358726	ENSG00000214046	30.1362	26.74301	38	12.22748	7.55599	17
ENST00000358738	ENSG00000126804	1	2	2	1	1	3
ENST00000358739	ENSG00000196747	3	4	2	12	15	15
ENST00000358747	ENSG00000225697	1.02216	0	0.28962	0	0	0
ENST00000358752	ENSG00000196371	12	14	14	7	6	10
ENST00000358755	ENSG00000164930	2	3	2	0	0	0
ENST00000358769	ENSG00000108187	20	20	17	0	2	2
ENST00000358771	ENSG00000198053	30.83892	21.09346	23.48175	0	0	0
ENST00000358776	ENSG00000196177	52	59	49	10	3	13
ENST00000358777	ENSG00000186567	21.23717	13	8.5	1	0	0
ENST00000358779	ENSG00000008128	1	3	5	0	2	0
ENST00000358780	ENSG00000077458	2	11	2.71477	0.95121	4	6
ENST00000358784	ENSG00000069966	246.82343	228.87729	195.6037	91.74502	12.52317	85.46487
ENST00000358788	ENSG00000115364	1	2	1	0	2	2
ENST00000358789	ENSG00000129451	2	1	0	68	41	56
ENST00000358791	ENSG00000124243	44	33	48	22	20	36
ENST00000358792	ENSG00000130299	1	1	0	0	0	0
ENST00000358794	ENSG00000168439	1	0	0	0	1	1
ENST00000358807	ENSG00000135596	4	13	8	1	2	6
ENST00000358812	ENSG00000172469	1	2	4	1	1	1
ENST00000358813	ENSG00000115009	0	1	2	0	0	1
ENST00000358849	ENSG00000197150	0	1	2	1	0	0
ENST00000358859	ENSG00000197651	0	1	0	0	0	0
ENST00000358867	ENSG00000171204	1	0	4	2	0	3
ENST00000358869	ENSG00000197712	8	6	6	1	1	2
ENST00000358871	ENSG00000112561	0	1	0	0	0	0
ENST00000358883	ENSG00000198121	0	0	1	0	0	0
ENST00000358888	ENSG00000229117	316	234	289	294	221	229
ENST00000358896	ENSG00000167264	57	53	53	76	51	99
ENST00000358901	ENSG00000165280	421	494	357	245	169	375
ENST00000358912	ENSG00000197329	11	7	6	10	0	14
ENST00000358918	ENSG00000142192	2	2	0	1	0	2
ENST00000358919	ENSG00000164741	6	11	3	0	0	0
ENST00000358923	ENSG00000113448	1	0	3	0	1	0
ENST00000358932	ENSG00000100814	463	478	485	713	277	564
ENST00000358933	ENSG00000038358	1	5	2	1	2	2
ENST00000358935	ENSG00000198060	399	539	425	152	72	163
ENST00000358939	ENSG00000074603	1	0	1	1	0	2
ENST00000358950	ENSG00000170364	3	4	6	2	1	2
ENST00000358971	ENSG00000109618	0	2	0	1	0	0
ENST00000358987	ENSG00000197054	16	30	31	4	2	10
ENST00000358993	ENSG00000198573	0	0	0	1	5	1
ENST00000358994	ENSG00000119383	0	3	1	2	2	2
ENST00000359013	ENSG00000163513	3	2	4	0	0	3
ENST00000359035	ENSG00000198546	0.04665	0	0	0	0.14331	0.036
ENST00000359039	ENSG00000198642	5	10	10	10	0	11
ENST00000359040	ENSG00000164509	0	0	1	0	0	0
ENST00000359042	ENSG00000141219	14	19	17	6	0	11
ENST00000359044	ENSG00000105732	0	0	0	2	1	2
ENST00000359051	ENSG00000186792	6	2	7	0	0	0
ENST00000359060	ENSG00000160075	20.7436	13.68605	29.71809	30.51062	26.80656	0
ENST00000359074	ENSG00000174365	0	2	1.5	0	0	0
ENST00000359086	ENSG00000196260	1	1	0	24148	16518	21281
ENST00000359088	ENSG00000070526	0	0	0	4	0	15
ENST00000359092	ENSG00000167601	3	8	0	0	0	1
ENST00000359107	ENSG00000163738	0	0	0	0	2	1
ENST00000359114	ENSG00000273899	83	81	81	73	57	94
ENST00000359117	ENSG00000178053	144	121	120	130	82	108
ENST00000359120	ENSG00000156463	11	11	12	15	6	17
ENST00000359130	ENSG00000142892	1	0.73166	1.97141	0	0	0
ENST00000359135	ENSG00000144366	1	2	0	0	0	0
ENST00000359154	ENSG00000198373	10	8	8	7	10	12
ENST00000359172	ENSG00000168710	48	43	33	45	18	44
ENST00000359175	ENSG00000196542	3	1	2	0	0	0
ENST00000359191	ENSG00000196235	4	0	3.59248	10	5	11
ENST00000359193	ENSG00000196787	0	0	0	8.63173	16.75355	11.73198
ENST00000359204	ENSG00000148690	28	39	33	6	12	6
ENST00000359205	ENSG00000163374	2	4	1	0	1	0
ENST00000359209	ENSG00000183853	19	21	28	9	1	6
ENST00000359210	ENSG00000058600	0	1	0	0	0	0
ENST00000359213	ENSG00000121578	2	7	9	6	1	3
ENST00000359226	ENSG00000101019	0	1	1	0	0	0
ENST00000359237	ENSG00000170965	6	0	4	1	5	3
ENST00000359238	ENSG00000002919	69	67	70	50	27	75
ENST00000359244	ENSG00000291186	32	50	49	2	1	1
ENST00000359265	ENSG00000163110	10	9	3	5	2	4
ENST00000359271	ENSG00000197496	2	0	0	0	1	2
ENST00000359273	ENSG00000074582	276	257	202	457	354	587
ENST00000359276	ENSG00000047230	12	14	19	11	8	13
ENST00000359280	ENSG00000143537	0	1	0	0	1	0
ENST00000359282	ENSG00000197111	35	35	34	51	23	51
ENST00000359299	ENSG00000109511	13	8	7	1	0	0
ENST00000359303	ENSG00000197153	1.9355	2	4	8	6	20
ENST00000359308	ENSG00000196419	2.83445	38.47785	5.92788	1.80902	196.1187	9.21303
ENST00000359314	ENSG00000198087	2	3	4	0	0	2
ENST00000359316	ENSG00000117791	0	0	1	0	0	0
ENST00000359321	ENSG00000196584	46	54	22	16	5	10
ENST00000359322	ENSG00000177791	3	1	1	0	0	0
ENST00000359331	ENSG00000026751	0	2	1	2	0	4
ENST00000359333	ENSG00000178826	0	0	0	0.87046	1	1
ENST00000359342	ENSG00000104818	9	9	18	0	0	0
ENST00000359353	ENSG00000198231	0	0	1	0	0	0
ENST00000359365	ENSG00000068028	1	4	2	0	0	0
ENST00000359366	ENSG00000066427	3	9	8	1	1	4
ENST00000359370	ENSG00000113578	38	31	23	27	25	23
ENST00000359374	ENSG00000066379	341	317	356	670	433	508
ENST00000359396	ENSG00000165125	2	1	1	0	0	0
ENST00000359421	ENSG00000188343	0	1	0	0	0	0
ENST00000359426	ENSG00000156515	132	154	114	57	35	55
ENST00000359429	ENSG00000197713	366	346.66662	316	285.52794	156	245
ENST00000359435	ENSG00000105393	142	152	133	516	337	479
ENST00000359445	ENSG00000140598	0	1	0	0	0	0
ENST00000359450	ENSG00000196535	3	4	3	4	2	3
ENST00000359451	ENSG00000112290	3	6	1	1	0	5
ENST00000359461	ENSG00000174851	211	243	179	390	313	435
ENST00000359462	ENSG00000197111	36	40	31	39	27	36
ENST00000359466	ENSG00000138002	0	0	0	0	0	0.08896
ENST00000359467	ENSG00000196693	11	0.23895	14	2	5	7
ENST00000359470	ENSG00000182795	18	26	31	46	19	44
ENST00000359479	ENSG00000169359	24	29	19	5	1	2
ENST00000359491	ENSG00000214770	3	0	1	1	0	0
ENST00000359511	ENSG00000160785	49	38	32	23	10	54
ENST00000359523	ENSG00000197965	217	295	263	161	115	187
ENST00000359524	ENSG00000124813	0	0	1	0	0	0
ENST00000359526	ENSG00000130816	4	4	0	1	0	1
ENST00000359527	ENSG00000151332	1	1	0	0	0	0
ENST00000359530	ENSG00000047249	296	309	264	242	104	247
ENST00000359534	ENSG00000164626	4	1	3	4	0	3
ENST00000359541	ENSG00000115207	6	3	1	6	1	6
ENST00000359543	ENSG00000213853	1310	1170	1071	453	229	297
ENST00000359548	ENSG00000186281	3	1	0	0	0	0
ENST00000359551	ENSG00000179526	0	0	0	1	1	1
ENST00000359564	ENSG00000111817	2	0	1	0	0	0
ENST00000359579	ENSG00000198074	66	65	53	28	14	19
ENST00000359591	ENSG00000197324	21	22	12	16	11	40
ENST00000359593	ENSG00000221838	0	204.99999	192.38731	174.99999	119	183.99999
ENST00000359595	ENSG00000140511	9	11	2	2	0	0
ENST00000359611	ENSG00000278677	0	3	2	6	31	3
ENST00000359614	ENSG00000167985	6	8	6	4	0	3
ENST00000359623	ENSG00000127399	2	4	0	11	7	10
ENST00000359626	ENSG00000198874	43	56	39	11	5	15
ENST00000359629	ENSG00000119866	2	4	4	75	53	64
ENST00000359644	ENSG00000017260	2	0	1	0	0	0
ENST00000359645	ENSG00000197971	1	0	0	0	0	0
ENST00000359651	ENSG00000163435	0.09403	0.38504	0.09994	0.65585	2.0006	0.17169
ENST00000359653	ENSG00000019995	13	15	14	4	4	3
ENST00000359655	ENSG00000156502	207	276	188	99	40	85
ENST00000359675	ENSG00000101079	11	11	9	6	7	11
ENST00000359676	ENSG00000197183	3	3	1	14	9	11
ENST00000359678	ENSG00000198130	158	169	146	63	37	76
ENST00000359680	ENSG00000196459	105	94	81	46	22	35
ENST00000359681	ENSG00000197756	16484.85601	14826.78784	21093.03739	43294.91441	40987.66227	27041.87966
ENST00000359683	ENSG00000196290	77	80	58	74	41	67
ENST00000359685	ENSG00000079156	1	1	0	0	0	0
ENST00000359692	ENSG00000079805	3	6	6	3	2	4
ENST00000359697	ENSG00000127952	44.90233	38.16044	44.34429	39.60998	36.40332	43.78959
ENST00000359707	ENSG00000138757	8	13	14	7	2	2
ENST00000359712	ENSG00000119185	0	0	1	0.2165	0	0
ENST00000359720	ENSG00000008394	1	0	0	0	0	1
ENST00000359735	ENSG00000197008	10	13	7	2	0	2
ENST00000359741	ENSG00000104635	0	0	1	1	0	1
ENST00000359744	ENSG00000144362	2	7	14	12	4	5
ENST00000359750	ENSG00000067221	0	0	2	0	0	0
ENST00000359774	ENSG00000196151	77	66	59	35	15	32
ENST00000359775	ENSG00000175048	0	2	0	0	0	0
ENST00000359782	ENSG00000124523	0	0	1	1	0	0
ENST00000359783	ENSG00000196704	2	3	4	3	1	0
ENST00000359787	ENSG00000198125	37	5.97319	40	27	14	28
ENST00000359788	ENSG00000197372	176	130	128	15	18	15
ENST00000359794	ENSG00000152556	144	135	104	128	50	166
ENST00000359798	ENSG00000198482	3	3	4	2	0	0
ENST00000359803	ENSG00000110492	4	5	9	15	16	14
ENST00000359822	ENSG00000129255	0	0	0	0	0	0.00001
ENST00000359831	ENSG00000056972	0	0	0	0	0	0.00907
ENST00000359832	ENSG00000241468	641	574	489	182	114	116
ENST00000359843	ENSG00000111206	19	16	14	17	12	22
ENST00000359862	ENSG00000149582	0	1.75145	1.41501	0	0	0
ENST00000359864	ENSG00000197905	39	44	42	100	108	150
ENST00000359866	ENSG00000130311	560.46294	731.08405	631.58999	1533.57895	1050.12713	1503.74165
ENST00000359875	ENSG00000197568	95	64	83	250	188	200
ENST00000359878	ENSG00000155729	8	6	7	6	0	5
ENST00000359889	ENSG00000071889	0	1	0	0	0	1
ENST00000359890	ENSG00000100461	55	48	48	31	16	62
ENST00000359904	ENSG00000196704	700	941	794	392	164	319
ENST00000359941	ENSG00000182165	14	11	13	3	4	7
ENST00000359942	ENSG00000197429	2	1	1	4	1	1
ENST00000359943	ENSG00000196937	907	1095	938	672	364	683
ENST00000359944	ENSG00000136521	3	3	5	3	2	1
ENST00000359949	ENSG00000135124	6	8	7	3	3	9
ENST00000359957	ENSG00000174744	961	969	920	1118	875	1239
ENST00000359979	ENSG00000107771	0	2	0	2	0	0
ENST00000359980	ENSG00000155256	4	6	3	5	0	5
ENST00000359984	ENSG00000188603	143	121	134	224	146	292
ENST00000359995	ENSG00000161547	894	880	920	594	346	643
ENST00000360000	ENSG00000180964	43	40	31	57	54	34
ENST00000360001	ENSG00000078808	18	11	7	2	0	4
ENST00000360003	ENSG00000197771	3	1	1	1	0	1
ENST00000360004	ENSG00000196126	4	5	2	22	18	38
ENST00000360010	ENSG00000125846	1	0	0	0	0	0
ENST00000360019	ENSG00000188603	3	2	3	2	0	3
ENST00000360025	ENSG00000137486	50	35	33	202	186	282
ENST00000360031	ENSG00000197586	0	9.93253	5	1.24343	0	3.46534
ENST00000360039	ENSG00000197093	9	18	6	0	0	0
ENST00000360051	ENSG00000168385	2	0	0	0	0	0
ENST00000360057	ENSG00000196511	2	0	2	0	0	0
ENST00000360066	ENSG00000117266	4	4	6	13	3	9
ENST00000360067	ENSG00000104921	1	0	0	0	0	0
ENST00000360079	ENSG00000196419	2778	3100	2408	2242	1237	2871
ENST00000360083	ENSG00000196096	1	0	0	0	0	0
ENST00000360085	ENSG00000131096	0	1	2	0	0	0
ENST00000360096	ENSG00000196503	11	5	12	0	0	0
ENST00000360110	ENSG00000072274	28	35	30	7	0	8
